count haswon operator
44956 0 SPETSNAZ-KAPKAN
3551 0 SPETSNAZ-RESERVE
9250 0 SPETSNAZ-TACHANKA
122256 0 SWAT-ASH
39885 0 SWAT-CASTLE
67455 0 SWAT-PULSE
4378 0 SWAT-RESERVE
87951 0 SWAT-THERMITE
31970 1 BOPE-CAPITAO
91292 1 BOPE-CAVEIRA
92370 1 G.E.O.-JACKAL
74004 1 G.E.O.-MIRA
52412 1 GIGN-DOC
31058 1 GIGN-MONTAGNE
3167 1 GIGN-RESERVE
66249 1 GIGN-ROOK
104456 1 GIGN-TWITCH
103504 1 GSG9-BANDIT
12814 1 GSG9-BLITZ
32544 1 GSG9-IQ
138487 1 GSG9-JAGER
11846 1 GSG9-RESERVE
48499 1 JTF2-BUCK
66591 1 JTF2-FROST
37088 1 NAVYSEAL-BLACKBEARD
83792 1 NAVYSEAL-VALKYRIE
73067 1 SAS-MUTE
7522 1 SAS-RESERVE
82591 1 SAS-SLEDGE
68466 1 SAS-SMOKE
60701 1 SAS-THATCHER
23919 1 SAT-ECHO
103004 1 SAT-HIBANA
86004 1 SPETSNAZ-FUZE
60615 1 SPETSNAZ-GLAZ
43820 1 SPETSNAZ-KAPKAN
3097 1 SPETSNAZ-RESERVE
8115 1 SPETSNAZ-TACHANKA
131776 1 SWAT-ASH
38049 1 SWAT-CASTLE
66342 1 SWAT-PULSE
3818 1 SWAT-RESERVE
93695 1 SWAT-THERMITE
31257 0 BOPE-CAPITAO
91903 0 BOPE-CAVEIRA
82434 0 G.E.O.-JACKAL
63591 0 G.E.O.-MIRA
56144 0 GIGN-DOC
37319 0 GIGN-MONTAGNE
3981 0 GIGN-RESERVE
61229 0 GIGN-ROOK
96260 0 GIGN-TWITCH
96395 0 GSG9-BANDIT
15346 0 GSG9-BLITZ
30913 0 GSG9-IQ
131043 0 GSG9-JAGER
12627 0 GSG9-RESERVE
48715 0 JTF2-BUCK
63815 0 JTF2-FROST
35901 0 NAVYSEAL-BLACKBEARD
79736 0 NAVYSEAL-VALKYRIE
74939 0 SAS-MUTE
8702 0 SAS-RESERVE
76029 0 SAS-SLEDGE
71868 0 SAS-SMOKE
57734 0 SAS-THATCHER
19036 0 SAT-ECHO
90826 0 SAT-HIBANA
86893 0 SPETSNAZ-FUZE
58608 0 SPETSNAZ-GLAZ
42211 0 SPETSNAZ-KAPKAN
3484 0 SPETSNAZ-RESERVE
8952 0 SPETSNAZ-TACHANKA
117243 0 SWAT-ASH
43112 0 SWAT-CASTLE
68531 0 SWAT-PULSE
4480 0 SWAT-RESERVE
92626 0 SWAT-THERMITE
32275 1 BOPE-CAPITAO
95466 1 BOPE-CAVEIRA
87441 1 G.E.O.-JACKAL
63922 1 G.E.O.-MIRA
54875 1 GIGN-DOC
35998 1 GIGN-MONTAGNE
3279 1 GIGN-RESERVE
68646 1 GIGN-ROOK
105234 1 GIGN-TWITCH
99255 1 GSG9-BANDIT
14744 1 GSG9-BLITZ
32204 1 GSG9-IQ
136744 1 GSG9-JAGER
11819 1 GSG9-RESERVE
49371 1 JTF2-BUCK
71660 1 JTF2-FROST
37133 1 NAVYSEAL-BLACKBEARD
83423 1 NAVYSEAL-VALKYRIE
76533 1 SAS-MUTE
7539 1 SAS-RESERVE
79359 1 SAS-SLEDGE
71144 1 SAS-SMOKE
60716 1 SAS-THATCHER
19323 1 SAT-ECHO
97130 1 SAT-HIBANA
90259 1 SPETSNAZ-FUZE
60608 1 SPETSNAZ-GLAZ
41933 1 SPETSNAZ-KAPKAN
3141 1 SPETSNAZ-RESERVE
7772 1 SPETSNAZ-TACHANKA
125932 1 SWAT-ASH
41646 1 SWAT-CASTLE
67780 1 SWAT-PULSE
3930 1 SWAT-RESERVE
97883 1 SWAT-THERMITE
31474 0 BOPE-CAPITAO
85759 0 BOPE-CAVEIRA
113677 0 G.E.O.-JACKAL
89462 0 G.E.O.-MIRA
56368 0 GIGN-DOC
34466 0 GIGN-MONTAGNE
3706 0 GIGN-RESERVE
65757 0 GIGN-ROOK
96289 0 GIGN-TWITCH
96030 0 GSG9-BANDIT
12546 0 GSG9-BLITZ
32850 0 GSG9-IQ
130148 0 GSG9-JAGER
11022 0 GSG9-RESERVE
44856 0 JTF2-BUCK
59379 0 JTF2-FROST
36424 0 NAVYSEAL-BLACKBEARD
75675 0 NAVYSEAL-VALKYRIE
72357 0 SAS-MUTE
8250 0 SAS-RESERVE
72153 0 SAS-SLEDGE
57047 0 SAS-SMOKE
56487 0 SAS-THATCHER
20026 0 SAT-ECHO
92702 0 SAT-HIBANA
89983 0 SPETSNAZ-FUZE
37051 0 SPETSNAZ-GLAZ
44968 0 SPETSNAZ-KAPKAN
3334 0 SPETSNAZ-RESERVE
9752 0 SPETSNAZ-TACHANKA
117054 0 SWAT-ASH
45313 0 SWAT-CASTLE
64036 0 SWAT-PULSE
3945 0 SWAT-RESERVE
91945 0 SWAT-THERMITE
33121 1 BOPE-CAPITAO
89427 1 BOPE-CAVEIRA
122146 1 G.E.O.-JACKAL
91374 1 G.E.O.-MIRA
55732 1 GIGN-DOC
32688 1 GIGN-MONTAGNE
3043 1 GIGN-RESERVE
73762 1 GIGN-ROOK
105690 1 GIGN-TWITCH
99236 1 GSG9-BANDIT
12004 1 GSG9-BLITZ
33950 1 GSG9-IQ
136223 1 GSG9-JAGER
10093 1 GSG9-RESERVE
45654 1 JTF2-BUCK
66695 1 JTF2-FROST
37587 1 NAVYSEAL-BLACKBEARD
79573 1 NAVYSEAL-VALKYRIE
73681 1 SAS-MUTE
6872 1 SAS-RESERVE
75410 1 SAS-SLEDGE
56461 1 SAS-SMOKE
59259 1 SAS-THATCHER
20073 1 SAT-ECHO
100157 1 SAT-HIBANA
92981 1 SPETSNAZ-FUZE
36995 1 SPETSNAZ-GLAZ
43875 1 SPETSNAZ-KAPKAN
2917 1 SPETSNAZ-RESERVE
8306 1 SPETSNAZ-TACHANKA
125731 1 SWAT-ASH
43255 1 SWAT-CASTLE
63076 1 SWAT-PULSE
3592 1 SWAT-RESERVE
97070 1 SWAT-THERMITE
29539 0 BOPE-CAPITAO
88483 0 BOPE-CAVEIRA
76662 0 G.E.O.-JACKAL
59933 0 G.E.O.-MIRA
52213 0 GIGN-DOC
36182 0 GIGN-MONTAGNE
3905 0 GIGN-RESERVE
58492 0 GIGN-ROOK
94372 0 GIGN-TWITCH
98232 0 GSG9-BANDIT
15701 0 GSG9-BLITZ
31041 0 GSG9-IQ
131612 0 GSG9-JAGER
12918 0 GSG9-RESERVE
47751 0 JTF2-BUCK
63877 0 JTF2-FROST
35930 0 NAVYSEAL-BLACKBEARD
80120 0 NAVYSEAL-VALKYRIE
77949 0 SAS-MUTE
8842 0 SAS-RESERVE
81027 0 SAS-SLEDGE
75095 0 SAS-SMOKE
62687 0 SAS-THATCHER
20030 0 SAT-ECHO
93532 0 SAT-HIBANA
85999 0 SPETSNAZ-FUZE
60620 0 SPETSNAZ-GLAZ
44072 0 SPETSNAZ-KAPKAN
3576 0 SPETSNAZ-RESERVE
8717 0 SPETSNAZ-TACHANKA
119892 0 SWAT-ASH
41423 0 SWAT-CASTLE
67556 0 SWAT-PULSE
4423 0 SWAT-RESERVE
92037 0 SWAT-THERMITE
29818 1 BOPE-CAPITAO
92765 1 BOPE-CAVEIRA
79930 1 G.E.O.-JACKAL
61308 1 G.E.O.-MIRA
52130 1 GIGN-DOC
34558 1 GIGN-MONTAGNE
3286 1 GIGN-RESERVE
66549 1 GIGN-ROOK
102314 1 GIGN-TWITCH
101955 1 GSG9-BANDIT
15119 1 GSG9-BLITZ
31445 1 GSG9-IQ
137832 1 GSG9-JAGER
11635 1 GSG9-RESERVE
48460 1 JTF2-BUCK
72830 1 JTF2-FROST
36939 1 NAVYSEAL-BLACKBEARD
83795 1 NAVYSEAL-VALKYRIE
80919 1 SAS-MUTE
7622 1 SAS-RESERVE
84119 1 SAS-SLEDGE
75113 1 SAS-SMOKE
64926 1 SAS-THATCHER
20793 1 SAT-ECHO
99022 1 SAT-HIBANA
89071 1 SPETSNAZ-FUZE
61804 1 SPETSNAZ-GLAZ
43881 1 SPETSNAZ-KAPKAN
3052 1 SPETSNAZ-RESERVE
7806 1 SPETSNAZ-TACHANKA
127314 1 SWAT-ASH
40517 1 SWAT-CASTLE
66942 1 SWAT-PULSE
3840 1 SWAT-RESERVE
